time,enso
7241,2.13380527311427
7248,2.17361158631854
7255,2.21689707360016
7262,2.23119143362886
7269,2.23716417263948
7276,2.23560858885529
7283,2.25033334722005
7290,2.28645850275295
7297,2.28862441116129
7304,2.26519379183751
7311,2.21400151095978
7318,2.14627375649291
7325,2.08561899893381
7332,2.01376880991871
7339,1.91558255348014
7346,1.84477684649096
7353,1.77560267786359
7360,1.67099165265581
7367,1.52790180616598
7374,1.40272459854153
7381,1.27723717037925
7388,1.16070169550842
7395,1.05070989873874
7402,0.953892984621405
7409,0.855344312795003
7416,0.705419586582982
7423,0.540559214769369
7430,0.426560575141316
7437,0.265521087663363
7444,0.0915125913697328
7451,-0.0240013122313669
7458,-0.129729562241804
7465,-0.259596654124968
7472,-0.404142045982772
7479,-0.563096971642986
7486,-0.696166694511441
7493,-0.845843584261064
7500,-0.920973939746044
7507,-0.949136378269924
7514,-0.920962212144508
7521,-0.964407340974578
7528,-1.01262221277335
7535,-1.04089432193122
7542,-1.08389576546661
7549,-1.105700034655
7556,-1.12160930114842
7563,-1.12742697976811
7570,-1.11880204531677
7577,-1.1343881564411
7584,-1.10129522319167
7591,-1.13384151849723
7598,-1.16288004300487
7605,-1.23734792331617
7612,-1.28243919234543
7619,-1.3156352967352
7626,-1.35055824255153
7633,-1.38844274951269
7640,-1.4057949405871
7647,-1.41081334158893
7654,-1.40969098924674
7661,-1.40258749807208
7668,-1.40833887543881
7675,-1.39280482374191
7682,-1.34844756721276
7689,-1.31431686067666
7696,-1.2614678014095
7703,-1.19679641065061
7710,-1.11754038521531
7717,-1.05538305613375
7724,-0.987395499684957
7731,-0.931623960872742
7738,-0.889152272470612
7745,-0.853104508261883
7752,-0.834095103758065
7759,-0.789775743333642
7766,-0.791361809634354
7773,-0.811842618501529
7780,-0.842673367207053
7787,-0.870053272392988
7794,-0.898303762060421
7801,-0.921815902658987
7808,-0.904518139374782
7815,-0.89279527448709
7822,-0.914002884983238
7829,-0.928008306251949
7836,-0.954719409089978
7843,-0.963903713582184
7850,-0.988328150474233
7857,-1.01131278213133
7864,-1.03026862846227
7871,-1.02901889928523
7878,-1.01493788861821
7885,-1.01812525202176
7892,-1.00878971309961
7899,-1.01621974865224
7906,-1.02728247680116
7913,-1.01389397947314
7920,-1.04046700051481
7927,-1.05276788218578
7934,-1.09678569352633
7941,-1.11277029434621
7948,-1.12482563327465
7955,-1.17467756829899
7962,-1.2321530655262
7969,-1.27048299415339
7976,-1.30642390595721
7983,-1.3389643354504
7990,-1.3962694686672
7997,-1.45700554837177
8004,-1.52473181904288
8011,-1.54181253533075
8018,-1.56189760600388
8025,-1.5718948538701
8032,-1.56747904708887
8039,-1.56241237773031
8046,-1.54565676639484
8053,-1.51519536952163
8060,-1.48903100636797
8067,-1.45605446929749
8074,-1.41363139612124
8081,-1.34759217565687
8088,-1.27133498092204
8095,-1.18519736118886
8102,-1.13605962988456
8109,-1.06640728083396
8116,-1.03399026699668
8123,-1.00955699250628
8130,-0.972805195470666
8137,-0.910936614955898
8144,-0.868265708250207
8151,-0.839274035370878
8158,-0.787101249832588
8165,-0.760395449707768
8172,-0.753172979432912
8179,-0.743757954034685
8186,-0.740528330718957
8193,-0.725490858764342
8200,-0.721915922795966
8207,-0.663209175618253
8214,-0.621040182144033
8221,-0.584007608924371
